,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
35,77.0,265.0,225.0,556.0,96.0,589.0,237.0,235.0,346.0,707.0,256.0,312.0,488.0,411.0,271.0,673.0,731.0,487.0,491.0,43.0,18.0,640.0,50.0,260.0,1.0,432.0,81.0,644.0,292.0,48.0,1.0
36,77.0,327.0,237.0,589.0,265.0,96.0,556.0,225.0,346.0,658.0,188.0,488.0,235.0,256.0,312.0,731.0,43.0,646.0,797.0,492.0,18.0,640.0,50.0,260.0,1.0,432.0,81.0,644.0,292.0,48.0,4.0
37,589.0,77.0,265.0,556.0,237.0,346.0,96.0,225.0,235.0,492.0,228.0,777.0,126.0,546.0,586.0,312.0,487.0,552.0,318.0,72.0,18.0,640.0,50.0,260.0,1.0,432.0,81.0,644.0,292.0,48.0,2.0
38,589.0,225.0,77.0,237.0,265.0,346.0,556.0,96.0,411.0,235.0,707.0,312.0,188.0,491.0,323.0,326.0,586.0,334.0,546.0,352.0,18.0,640.0,50.0,260.0,1.0,432.0,81.0,644.0,292.0,48.0,1.0
39,589.0,237.0,77.0,556.0,265.0,777.0,225.0,312.0,346.0,170.0,96.0,488.0,43.0,72.0,131.0,188.0,326.0,329.0,318.0,719.0,18.0,640.0,50.0,1.0,260.0,432.0,81.0,644.0,292.0,48.0,4.0
40,589.0,77.0,265.0,556.0,237.0,225.0,416.0,346.0,303.0,304.0,96.0,777.0,43.0,126.0,228.0,312.0,515.0,235.0,188.0,72.0,18.0,640.0,50.0,1.0,260.0,432.0,81.0,644.0,292.0,48.0,2.0
41,77.0,589.0,237.0,225.0,556.0,346.0,265.0,312.0,96.0,646.0,318.0,329.0,188.0,352.0,487.0,411.0,43.0,104.0,72.0,731.0,18.0,50.0,640.0,1.0,260.0,432.0,81.0,644.0,292.0,48.0,4.0
42,589.0,77.0,265.0,237.0,225.0,346.0,556.0,96.0,321.0,126.0,312.0,188.0,304.0,330.0,507.0,228.0,644.0,204.0,235.0,318.0,18.0,50.0,640.0,260.0,1.0,432.0,81.0,644.0,292.0,48.0,2.0
43,589.0,237.0,77.0,556.0,225.0,265.0,303.0,325.0,329.0,777.0,507.0,346.0,312.0,471.0,96.0,586.0,707.0,188.0,318.0,552.0,18.0,640.0,50.0,260.0,1.0,432.0,81.0,644.0,292.0,48.0,1.0
44,77.0,225.0,235.0,327.0,589.0,265.0,556.0,237.0,96.0,346.0,304.0,232.0,312.0,552.0,487.0,330.0,368.0,81.0,586.0,240.0,18.0,640.0,50.0,260.0,1.0,432.0,81.0,644.0,292.0,48.0,2.0
45,77.0,589.0,235.0,265.0,225.0,556.0,43.0,269.0,346.0,327.0,96.0,271.0,318.0,363.0,237.0,312.0,188.0,586.0,273.0,646.0,18.0,640.0,50.0,1.0,260.0,432.0,81.0,644.0,292.0,48.0,3.0
46,77.0,589.0,237.0,265.0,225.0,346.0,556.0,312.0,96.0,170.0,491.0,507.0,188.0,318.0,329.0,501.0,586.0,719.0,72.0,330.0,18.0,640.0,50.0,1.0,260.0,432.0,81.0,644.0,292.0,48.0,4.0
47,589.0,77.0,237.0,225.0,265.0,346.0,556.0,96.0,411.0,329.0,303.0,707.0,312.0,126.0,188.0,321.0,493.0,318.0,269.0,507.0,18.0,640.0,50.0,260.0,1.0,432.0,81.0,644.0,292.0,48.0,1.0
48,589.0,77.0,237.0,225.0,556.0,265.0,405.0,777.0,303.0,346.0,507.0,96.0,707.0,312.0,188.0,318.0,330.0,304.0,411.0,260.0,18.0,640.0,50.0,1.0,260.0,432.0,81.0,644.0,292.0,48.0,1.0
49,77.0,265.0,225.0,96.0,235.0,556.0,237.0,346.0,589.0,188.0,707.0,507.0,256.0,487.0,488.0,731.0,312.0,330.0,334.0,699.0,18.0,640.0,50.0,1.0,260.0,432.0,81.0,644.0,292.0,48.0,1.0
50,77.0,589.0,265.0,225.0,556.0,346.0,237.0,235.0,329.0,96.0,318.0,312.0,586.0,321.0,72.0,188.0,269.0,487.0,507.0,320.0,18.0,640.0,50.0,1.0,260.0,432.0,81.0,644.0,292.0,48.0,3.0
51,589.0,77.0,237.0,225.0,265.0,556.0,96.0,346.0,707.0,235.0,312.0,72.0,487.0,318.0,188.0,317.0,330.0,303.0,507.0,491.0,18.0,640.0,50.0,260.0,1.0,432.0,81.0,644.0,292.0,48.0,1.0
52,77.0,589.0,237.0,225.0,96.0,265.0,556.0,346.0,507.0,707.0,731.0,303.0,235.0,312.0,188.0,256.0,392.0,777.0,323.0,318.0,18.0,640.0,50.0,1.0,260.0,432.0,81.0,644.0,292.0,48.0,1.0
53,77.0,327.0,265.0,589.0,235.0,225.0,556.0,346.0,237.0,318.0,586.0,96.0,188.0,312.0,411.0,507.0,72.0,487.0,43.0,271.0,18.0,640.0,50.0,1.0,260.0,432.0,81.0,644.0,292.0,48.0,3.0
